Timestamp,Date,USDT,USDC,BUSD,DAI,FRAX,TUSD,USN,Total
1681516800,2023-04-15,19005611,30251257,103,2973237,,20601,37813878,90064687
1681603200,2023-04-16,18999637,30060290,102,2965267,,20551,37813878,89859725
1681689600,2023-04-17,18958671,30216535,102,2962221,,20451,37813879,89971859
1681776000,2023-04-18,18956146,29867847,102,2952714,,20541,37813880,89611230
1681862400,2023-04-19,18965306,30092262,102,2950378,,20530,37813880,89842458
1681948800,2023-04-20,19111396,30046914,102,2952623,,20551,37813887,89945473
1682035200,2023-04-21,19202410,30298473,102,2952887,,20542,37813890,90288304
1682121600,2023-04-22,19218402,30305396,102,2951412,,20560,37813897,90309769
1682208000,2023-04-23,19235167,30309765,102,2952265,,20560,37813897,90331756
1682294400,2023-04-24,19238725,30313920,102,2950187,,20501,37813899,90337334
1682380800,2023-04-25,19235317,30331801,102,2950740,,20560,37813899,90352419
1682467200,2023-04-26,19054775,30232642,102,2950767,,20472,37813900,90072658
1682553600,2023-04-27,19115222,30137800,103,2948819,,20621,37813902,90036467
1682640000,2023-04-28,19110013,30192525,102,2935680,,20580,37813898,90072798
1682726400,2023-04-29,19125366,30189531,102,2935785,,20552,37813898,90085234
1682812800,2023-04-30,19103034,30192196,102,2935785,,20560,37813920,90065597
1682899200,2023-05-01,19104521,30189807,102,2935788,,20765,37813921,90064904
1682985600,2023-05-02,19103843,30138245,102,2935640,,20601,37813924,90012355
1683072000,2023-05-03,19119748,30219802,102,2938750,,20560,37813924,90112886
1683158400,2023-05-04,19088871,30142499,102,2935350,,20551,37813924,90001297
1683244800,2023-05-05,19162000,30340296,102,2934109,,20560,37813924,90270991
1683331200,2023-05-06,19170343,30509184,102,2937307,,20580,37813924,90451440
1683417600,2023-05-07,19144461,30402866,102,2933841,,20546,37813924,90315740
1683504000,2023-05-08,19092781,30431540,102,2937043,,20547,37813924,90295937
1683590400,2023-05-09,19122815,30487125,102,2937324,,20560,37813931,90381857
