Date,TVL_USD,TVL_ALGO
2023-04-04 00:00:00,133970664,612944489
2023-04-05 00:00:00,137923787,617985181
2023-04-06 00:00:00,137049969,628220029
2023-04-07 00:00:00,133946282,609381332
2023-04-08 00:00:00,138868785,640222701
2023-04-09 00:00:00,140221596,645477500
2023-04-10 00:00:00,140729603,636621337
2023-04-11 00:00:00,143818386,653633774
2023-04-12 00:00:00,144119894,668816364
2023-04-13 00:00:00,158913091,716531585
2023-04-14 00:00:00,184820043,811924698
2023-04-15 00:00:00,187765339,807131142
2023-04-16 00:00:00,192369066,819236701
2023-04-17 00:00:00,191913279,868362300
2023-04-18 00:00:00,186244772,836063154
2023-04-19 00:00:00,191778729,961730750
2023-04-20 00:00:00,175927458,920816188
2023-04-21 00:00:00,197557729,1065029939
2023-04-22 00:00:00,200750701,1048262742
2023-04-23 00:00:00,204711569,1082895082
2023-04-24 00:00:00,204453124,1100192236
2023-04-25 00:00:00,200519529,1063922114
2023-04-26 00:00:00,203624367,1123953273
2023-04-27 00:00:00,200047630,1084163227
2023-04-28 00:00:00,200786246,1088927461
2023-04-29 00:00:00,200530263,1089406176
2023-04-30 00:00:00,200392626,1102202980
2023-05-01 00:00:00,198653430,1117518439
2023-05-02 00:00:00,194040114,1081069672
2023-05-03 00:00:00,196169518,1079675708
2023-05-04 00:00:00,197481697,1110189942
2023-05-05 00:00:00,194692327,1066672842
2023-05-06 00:00:00,199599211,1132734870
2023-05-07 00:00:00,193008129,1099824086
2023-05-08 00:00:00,191483857,1162262181
2023-05-09 00:00:00,181301392,1090784012
2023-05-10 00:00:00,183587251,1083449402
2023-05-11 00:00:00,185105040,1131462730
2023-05-12 00:00:00,181989510,1101024922
2023-05-13 00:00:00,183438452,1121885961
2023-05-14 00:00:00,181574260,1108200747
2023-05-15 00:00:00,180885749,1078299079
2023-05-16 00:00:00,186965492,1098743513
2023-05-17 00:00:00,189859347,1098462441
2023-05-18 00:00:00,186203040,1121347041
2023-05-19 00:00:00,181710456,1095670970
2023-05-20 00:00:00,181210409,1094821102
2023-05-21 00:00:00,182152576,1119554130
2023-05-22 00:00:00,178048977,1095355718
2023-05-23 00:00:00,179016510,1096236460
2023-05-24 00:00:00,179815480,1160294504
2023-05-25 00:00:00,171744356,1138163742
2023-05-26 00:00:00,167967506,1114153187
2023-05-27 00:00:00,168608369,1114066333
2023-05-28 00:00:00,170291381,1106427614
2023-05-29 00:00:00,172409374,1132082514
2023-05-30 00:00:00,169737729,1117776594
2023-05-31 00:00:00,170804640,1150555999
2023-06-02 00:00:00,167202678,1121240034
2023-06-03 00:00:00,169922685,1117081941
2023-06-04 00:00:00,170125663,1113227565
2023-06-05 00:00:00,170458798,1230900532
2023-06-06 00:00:00,156358744,1136088646
2023-06-07 00:00:00,155767739,1238404358
2023-06-08 00:00:00,144803372,1173485141
2023-06-09 00:00:00,142376575,1141945118
2023-06-10 00:00:00,142009394,1273638279
2023-06-11 00:00:00,129075198,1165622410
2023-06-12 00:00:00,129137280,1144468785
2023-06-13 00:00:00,128809426,1140229322
2023-06-14 00:00:00,130741167,1155610650
2023-06-15 00:00:00,131362236,1171747212
2023-06-16 00:00:00,127019606,1093836763
2023-06-17 00:00:00,131552714,1110899460
2023-06-18 00:00:00,133709263,1161951653
2023-06-19 00:00:00,130920746,1125144995
2023-06-20 00:00:00,133650363,1098691795
2023-06-21 00:00:00,140026295,1112025850
2023-06-22 00:00:00,145386726,1162554386
2023-06-23 00:00:00,144212300,1066674805
2023-06-24 00:00:00,152355396,1147626087
2023-06-25 00:00:00,152327590,1111101637
2023-06-26 00:00:00,154703348,1196320239
2023-06-27 00:00:00,149756600,1177424329
2023-06-28 00:00:00,144718367,1219677267
2023-06-29 00:00:00,138299378,1149945768
2023-06-30 00:00:00,139584305,1149210903
2023-07-01 00:00:00,115147917,902540457
2023-07-02 00:00:00,113928659,920635627
2023-07-03 00:00:00,106430500,830839190
2023-07-04 00:00:00,109817802,881943191
2023-07-05 00:00:00,100623933,838749450
2023-07-06 00:00:00,86973077,766586547
2023-07-07 00:00:00,77823322,692766603
2023-07-08 00:00:00,83120851,744123716
2023-07-09 00:00:00,84888319,768665283
2023-07-10 00:00:00,83845239,762562200
2023-07-11 00:00:00,81838849,753601384
2023-07-12 00:00:00,78625574,742065730
2023-07-13 00:00:00,86113091,707590788
2023-07-14 00:00:00,115638793,1021453870
2023-07-15 00:00:00,107486111,946130582
2023-07-16 00:00:00,108682416,937046625
2023-07-17 00:00:00,110077006,916598016
2023-07-18 00:00:00,113842373,1000530605
2023-07-19 00:00:00,112132666,983533599
2023-07-20 00:00:00,110263899,957251618
2023-07-21 00:00:00,112640220,975958237
2023-07-22 00:00:00,114613572,1001858133
2023-07-23 00:00:00,113078749,974119802
